Id	WT30_a	WT30_b	WT30_c	WT37_a	WT37_b	WT37_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WT37_a	norm.WT37_b	norm.WT37_c	baseMean	WT	WT37	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_00288	1913	1088	1508	1031	1100	1513	1913	1088	1508	1031	1100	1513	1358.83	1503	1215	0.808	-0.307	0.437904417470536	0.999999471897794	0.0596	0.1432	0.1123	0.1123	TRUE	0.1578
CNAG_00289	1386	827	841	989	912	1149	1386	827	841	989	912	1149	1017.33	1018	1017	0.999	-0.002	0.996146239325074	0.999999471897794	0.0505	0.144	0.1094	0.1094	TRUE	1.1957
CNAG_00290	3917	2107	2159	2334	2017	2937	3917	2107	2159	2334	2017	2937	2578.5	2728	2429	0.891	-0.167	0.682572724017189	0.999999471897794	0.0806	0.1419	0.1199	0.1199	TRUE	1.7662
CNAG_00291	2531	2096	2134	1485	1761	2589	2531	2096	2134	1485	1761	2589	2099.33	2254	1945	0.863	-0.213	0.580896010156983	0.999999471897794	0.0461	0.1423	0.1063	0.1063	TRUE	1.0147
CNAG_00292	5558	4460	6303	2175	4866	7426	5558	4460	6303	2175	4866	7426	5131.33	5440	4822	0.886	-0.174	0.708468945253335	0.999999471897794	0.1841	0.1413	0.1558	0.1558	TRUE	0.2226
CNAG_00293	4597	3004	3412	2918	3099	4129	4597	3004	3412	2918	3099	4129	3526.5	3671	3382	0.921	-0.118	0.755623756720635	0.999999471897794	0.0375	0.1416	0.1038	0.1038	TRUE	0.5925
CNAG_00294	5043	3019	3089	2328	2393	3573	5043	3019	3089	2328	2393	3573	3240.83	3717	2765	0.744	-0.427	0.288446629836638	0.999999471897794	0.0794	0.1417	0.1163	0.1163	TRUE	1.1851
CNAG_00295	2	0	2	17	15	22	2	0	2	17	15	22	9.67	1	18	13.5	3.755	0.000362216820223412	0.0298828876684315	0	0.5016	0.3962	0.3962	TRUE	0.4747
CNAG_00299	2073	1191	1344	831	1672	2344	2073	1191	1344	831	1672	2344	1575.83	1536	1616	1.052	0.073	0.87348624359073	0.999999471897794	0.1658	0.1428	0.1506	0.1506	TRUE	0.2384
CNAG_00300	2953	2031	2082	1631	1969	2906	2953	2031	2082	1631	1969	2906	2262	2355	2169	0.921	-0.119	0.765022806471904	0.999999471897794	0.0656	0.1421	0.114	0.114	TRUE	0.9513
CNAG_00301	11434	7212	5248	14466	5192	7138	11434	7212	5248	14466	5192	7138	8448.33	7965	8932	1.121	0.165	0.728774218390637	0.999999471897794	0.1938	0.141	0.1638	0.1638	TRUE	1.3058
CNAG_00302	344	198	279	636	793	1179	344	198	279	636	793	1179	571.5	274	869	3.177	1.667	7.00420867020322e-05	0.00764249542805239	0.0838	0.1467	0.1243	0.1243	TRUE	0.3103
CNAG_00303	85	95	118	35	44	87	85	95	118	35	44	87	77.33	99	55	0.557	-0.844	0.0868739370777107	0.882435712208278	0.109	0.1857	0.1611	0.1611	TRUE	2.1149
CNAG_00304	759	536	744	398	504	613	759	536	744	398	504	613	592.33	680	505	0.743	-0.429	0.269166812523165	0.999999471897794	0.0392	0.1465	0.1067	0.1067	TRUE	0.2614
CNAG_00305	16025	11433	13064	16228	16603	23086	16025	11433	13064	16228	16603	23086	16073.17	13507	18639	1.38	0.465	0.213121486514529	0.999999471897794	0.0362	0.1408	0.1003	0.1003	TRUE	0.5329
CNAG_00306	2879	2286	1934	3223	1096	1381	2879	2286	1934	3223	1096	1381	2133.17	2366	1900	0.803	-0.317	0.496270231835964	0.999999471897794	0.1818	0.1422	0.1556	0.1556	TRUE	3.2699
CNAG_00307	2358	2401	2628	2716	2462	2748	2358	2401	2628	2716	2462	2748	2552.17	2462	2642	1.073	0.102	0.770582384910776	0.999999471897794	0.0029	0.142	0.0871	0.0871	TRUE	0.0431
CNAG_00308	3709	2581	2352	2444	1920	2415	3709	2581	2352	2444	1920	2415	2570.17	2881	2260	0.784	-0.35	0.35454961859796	0.999999471897794	0.0397	0.1419	0.1028	0.1028	TRUE	0.7685
CNAG_00309	3245	1769	1740	2122	2431	3668	3245	1769	1740	2122	2431	3668	2495.83	2251	2740	1.217	0.284	0.503332605629527	0.999999471897794	0.1017	0.142	0.129	0.129	TRUE	1.8063
CNAG_00310	1628	938	1086	656	1118	1630	1628	938	1086	656	1118	1630	1176	1217	1135	0.932	-0.101	0.819233548109926	0.999999471897794	0.1368	0.1436	0.1412	0.1412	TRUE	0.227
CNAG_00311	7911	4873	5092	4718	4445	6630	7911	4873	5092	4718	4445	6630	5611.5	5959	5264	0.883	-0.179	0.649546033567983	0.999999471897794	0.0589	0.1412	0.1113	0.1113	TRUE	1.0022
CNAG_00312	1419	1156	1290	500	819	1047	1419	1156	1290	500	819	1047	1038.5	1288	789	0.612	-0.708	0.0802428558873526	0.850850971908997	0.0698	0.1439	0.117	0.117	TRUE	0.5093
CNAG_00313	1962	1215	1057	1214	1253	1664	1962	1215	1057	1214	1253	1664	1394.17	1411	1377	0.976	-0.036	0.929589806033745	0.999999471897794	0.0684	0.1431	0.1158	0.1158	TRUE	1.4024
CNAG_00314	1955	956	988	1036	688	916	1955	956	988	1036	688	916	1089.83	1300	880	0.677	-0.563	0.186690019466691	0.999999471897794	0.1045	0.1438	0.1299	0.1299	TRUE	2.3386
CNAG_00315	48546	22816	13310	48444	8486	9262	48546	22816	13310	48444	8486	9262	25144	28224	22064	0.782	-0.355	0.575461653510505	0.999999471897794	0.5585	0.1407	0.2899	0.2899	TRUE	1.8384
CNAG_00316	4373	3117	3550	3234	2698	3430	4373	3117	3550	3234	2698	3430	3400.33	3680	3121	0.848	-0.238	0.514204115727611	0.999999471897794	0.022	0.1416	0.0955	0.0955	TRUE	0.3302
