Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_03476	23386	14160	13592	6728	3053	11982	13696	14221	12754	7896	5609	9815	10665.05	13557	7773	0.574	-0.802	0.000263608557512052	0.0137962347517578	0.038	0.0287	0.0347	0.0347	TRUE	0.4381
CNAG_02143	1439	903	909	345	227	791	843	907	853	405	417	648	678.74	868	490	0.567	-0.819	0.000277002328929778	0.0142633860501341	0.0343	0.0353	0.0347	0.0347	TRUE	0.9528
CNAG_00891	21108	15441	14704	8311	3968	11671	12362	15508	13797	9753	7290	9560	11378.34	13889	8868	0.639	-0.647	0.000285900894224285	0.0144879143620798	0.0182	0.0286	0.0228	0.0228	TRUE	0.2944
CNAG_00280	8366	5911	5747	3415	1968	4689	4900	5936	5393	4008	3615	3841	4615.46	5410	3821	0.707	-0.501	0.000315955841375808	0.0156385895130584	0.0056	0.0293	0.0137	0.0137	TRUE	0.0885
CNAG_03179	1111	501	445	192	177	372	651	503	418	225	325	305	404.43	524	285	0.543	-0.882	0.000322726226268796	0.0158508227286635	0.0384	0.0401	0.0403	0.0403	TRUE	0.2467
CNAG_00719	4927	2695	3042	1356	624	2533	2886	2707	2854	1591	1146	2075	2209.86	2816	1604	0.571	-0.809	0.000380756800920914	0.0179926475715025	0.0417	0.0304	0.0368	0.0368	TRUE	0.3904
CNAG_05176	2754	1904	1879	940	510	1625	1613	1912	1763	1103	937	1331	1443.23	1763	1124	0.639	-0.646	0.000419161434890658	0.0188475053646257	0.018	0.0315	0.0234	0.0234	TRUE	0.3155
CNAG_06403	3375	2173	2005	964	685	1892	1977	2182	1881	1131	1258	1550	1663.31	2013	1313	0.653	-0.615	0.000444748520075828	0.0198581769278613	0.0153	0.0311	0.0214	0.0214	TRUE	0.305
CNAG_02928	97025	53773	54728	29435	13463	48757	56823	54005	51354	34543	24733	39939	43566.08	54061	33072	0.612	-0.709	0.000448803248983449	0.0199000607274953	0.0284	0.0283	0.0294	0.0294	TRUE	0.5948
CNAG_00417	53556	30499	32610	17918	8361	27982	31365	30630	30600	21027	15360	22921	25317.31	30865	19769	0.641	-0.642	0.000454471984276469	0.0200124387558983	0.0198	0.0284	0.0242	0.0242	TRUE	0.4647
CNAG_02338	29178	14815	17519	9711	4448	14128	17088	14879	16439	11396	8171	11573	13257.74	16135	10380	0.643	-0.636	0.00049320989674031	0.0215694876074444	0.0194	0.0286	0.0239	0.0239	TRUE	0.4215
CNAG_01273	8505	5250	6343	3586	1817	4235	4981	5273	5952	4208	3338	3469	4536.82	5402	3672	0.68	-0.557	0.000514540380828068	0.0223492539563756	0.0121	0.0293	0.0183	0.0183	TRUE	0.1986
CNAG_01152	95077	49054	54138	26577	11277	46015	55682	49265	50800	31189	20717	37693	40891.12	51916	29866	0.575	-0.798	0.000522786480366555	0.0224026287056406	0.0432	0.0283	0.0381	0.0381	TRUE	0.6811
CNAG_06563	8880	4658	5458	3034	1431	4459	5201	4678	5122	3561	2629	3653	4140.36	5000	3281	0.657	-0.607	0.000545701702253273	0.0232287024592477	0.0161	0.0294	0.0219	0.0219	TRUE	0.3617
CNAG_00992	26912	16953	17396	7720	2882	14068	15761	17026	16323	9060	5295	11524	12498.1	16370	8626	0.527	-0.924	0.000564889111560192	0.0238533758390767	0.0668	0.0286	0.0516	0.0516	TRUE	0.7032
CNAG_00771	53770	46486	58655	21835	11716	35527	31491	46686	55039	25624	21523	29102	34910.84	44405	25416	0.572	-0.805	0.000644622935510531	0.0256054405604739	0.0472	0.0283	0.0401	0.0401	TRUE	0.2717
CNAG_02202	4993	3639	4184	1924	814	2930	2924	3655	3926	2258	1495	2400	2776.38	3502	2051	0.586	-0.77	0.000652898800405489	0.0256054405604739	0.0385	0.0299	0.0363	0.0363	TRUE	0.667
CNAG_02742	3868	2124	2087	1240	814	1995	2265	2133	1958	1455	1495	1634	1823.59	2119	1528	0.721	-0.471	0.000639250360448413	0.0256054405604739	0.0042	0.0308	0.0131	0.0131	TRUE	0.0533
CNAG_00334	152024	91671	93501	45171	18182	79817	89033	92066	87736	53010	33402	65381	70104.89	89612	50598	0.565	-0.825	0.000716750814097107	0.0274466858097013	0.0511	0.0283	0.0428	0.0428	TRUE	0.6813
CNAG_00654	1346	902	744	373	263	720	788	906	698	438	483	590	650.5	797	504	0.633	-0.66	0.00071786946440409	0.0274466858097013	0.0181	0.0356	0.0256	0.0256	TRUE	0.2738
CNAG_03168	18831	9837	9801	6265	2966	8784	11028	9879	9197	7352	5449	7195	8350.16	10035	6665	0.664	-0.59	0.000735862761067726	0.0278016788722925	0.0166	0.0288	0.0219	0.0219	TRUE	0.3088
CNAG_00915	704	421	428	196	157	358	412	423	402	230	288	293	341.4	412	270	0.656	-0.608	0.000750928040995888	0.0280390382558991	0.0037	0.0423	0.0201	0.0201	TRUE	0.1935
CNAG_01628	53286	29274	31545	14791	5938	26886	31207	29400	29600	17358	10909	22023	23416.23	30069	16763	0.558	-0.843	0.000768623615697129	0.0285329173617801	0.0559	0.0284	0.0452	0.0452	TRUE	0.5638
CNAG_02285	38491	23546	26155	15262	8544	22647	22542	23648	24542	17911	15696	18551	20481.69	23577	17386	0.738	-0.439	0.000814292013935503	0.0296431924306334	0.0045	0.0284	0.0124	0.0124	TRUE	0.0881
CNAG_01810	483	342	506	157	61	281	283	343	475	184	112	230	271.27	367	175	0.483	-1.05	0.000879620704460411	0.0315526865055041	0.087	0.0459	0.0672	0.0672	TRUE	0.428
CNAG_02259	2645	1443	1749	879	504	1486	1549	1449	1641	1032	926	1217	1302.35	1546	1058	0.686	-0.544	0.000904262180802959	0.031723703430917	0.0104	0.0319	0.0185	0.0185	TRUE	0.2099
CNAG_03320	4130	2242	2350	1528	930	2066	2419	2252	2205	1793	1708	1692	2011.59	2292	1731	0.755	-0.405	0.0010091753357285	0.0346697711137942	0.0014	0.0306	0.0104	0.0104	TRUE	0.0289
CNAG_06919	9742	4909	6949	2650	1097	5129	5705	4930	6521	3110	2015	4201	4413.79	5719	3109	0.544	-0.878	0.00110430593595006	0.0371104915844271	0.0711	0.0293	0.0519	0.0519	TRUE	0.3711
CNAG_00345	5943	3801	3920	2529	1420	3113	3481	3817	3678	2968	2609	2550	3183.8	3659	2709	0.741	-0.433	0.00120650388007357	0.0392087406817043	0.0041	0.0297	0.0126	0.0126	TRUE	0.0852
CNAG_00455	2460	1471	1887	741	276	1363	1441	1477	1771	870	507	1116	1196.97	1563	831	0.533	-0.907	0.00120972935227811	0.0392087406817043	0.0733	0.0322	0.0556	0.0556	TRUE	0.6368
CNAG_02534	2571	1396	1633	967	530	1372	1506	1402	1532	1135	974	1124	1278.73	1480	1078	0.729	-0.456	0.00118920255231689	0.0392087406817043	0.0034	0.032	0.0134	0.0134	TRUE	0.0802
CNAG_06180	6994	4272	4263	2727	1562	3982	4096	4290	4000	3200	2870	3262	3619.71	4129	3111	0.754	-0.408	0.00120799409573639	0.0392087406817043	0.0025	0.0295	0.0111	0.0111	TRUE	0.0546
CNAG_00143	10148	5074	5163	2935	1336	4848	5943	5096	4845	3444	2454	3971	4292.28	5295	3290	0.622	-0.685	0.00123008665777616	0.0394678558286472	0.0329	0.0293	0.0321	0.0321	TRUE	0.5929
CNAG_03038	2676	1610	2224	774	596	1605	1567	1617	2087	908	1095	1315	1431.5	1757	1106	0.63	-0.666	0.00127246687018914	0.0405777370399297	0.0291	0.0316	0.03	0.03	TRUE	0.3336
CNAG_07400	16260	9421	10128	6303	3476	9227	9523	9462	9504	7397	6386	7558	8304.78	9496	7114	0.749	-0.416	0.00128168730170475	0.0405777370399297	0.0038	0.0288	0.0119	0.0119	TRUE	0.0968
CNAG_07660	31548	15778	15318	9550	5429	15228	18476	15846	14374	11207	9974	12474	13725.1	16232	11218	0.691	-0.533	0.00128374359938384	0.0405777370399297	0.0143	0.0286	0.0197	0.0197	TRUE	0.1792
CNAG_04215	18350	9631	10049	6219	2296	8078	10747	9673	9429	7298	4218	6617	7996.99	9950	6044	0.608	-0.719	0.00133902896778036	0.0415033978605708	0.0381	0.0288	0.036	0.036	TRUE	0.8466
CNAG_06144	26583	16695	16694	10354	5118	14937	15568	16767	15665	12151	9402	12236	13631.46	16000	11263	0.704	-0.506	0.00133159608436034	0.0415033978605708	0.011	0.0286	0.0178	0.0178	TRUE	0.254
CNAG_07676	19776	12805	14015	6710	3071	11824	11582	12860	13151	7874	5642	9686	10132.45	12531	7734	0.617	-0.696	0.00133674168545289	0.0415033978605708	0.0364	0.0287	0.0338	0.0338	TRUE	0.4192
CNAG_00019	6121	3814	4727	2305	1350	3772	3585	3830	4436	2705	2480	3090	3354.28	3950	2758	0.699	-0.517	0.00138491951042311	0.0427184109857562	0.0119	0.0296	0.0185	0.0185	TRUE	0.1407
CNAG_02917	9359	3847	4407	2297	974	3950	5481	3864	4135	2696	1789	3236	3533.43	4493	2574	0.573	-0.803	0.00146778104301961	0.0446275331413342	0.0584	0.0296	0.0456	0.0456	TRUE	0.7202
CNAG_00815	2818	1436	1367	857	527	1335	1650	1442	1283	1006	968	1094	1240.45	1458	1023	0.701	-0.512	0.00150681844524304	0.0450494832806573	0.0087	0.0321	0.0178	0.0178	TRUE	0.1622
CNAG_00930	20058	10796	13332	5482	1882	10324	11747	10843	12510	6433	3457	8457	8907.86	11700	6116	0.523	-0.935	0.00151619665567129	0.0450494832806573	0.0869	0.0288	0.0625	0.0625	TRUE	0.6706
CNAG_01797	3142	1814	1901	1252	635	1596	1840	1822	1784	1469	1167	1307	1564.82	1815	1314	0.725	-0.464	0.0015169363986439	0.0450494832806573	0.0058	0.0313	0.0147	0.0147	TRUE	0.1257
CNAG_01564	1500	817	1122	446	189	833	878	821	1053	523	347	682	717.46	917	517	0.567	-0.819	0.00176390758517182	0.049632397100586	0.0589	0.0349	0.0478	0.0478	TRUE	0.3875
CNAG_02540	1301	1006	1191	446	218	874	762	1010	1118	523	400	716	754.94	963	546	0.57	-0.812	0.0017723079935683	0.049632397100586	0.0581	0.0346	0.047	0.047	TRUE	0.666
CNAG_04287	3175	1276	1738	872	403	1395	1859	1282	1631	1023	740	1143	1279.7	1591	969	0.61	-0.713	0.00174395903964168	0.049632397100586	0.0382	0.032	0.0365	0.0365	TRUE	0.3094
CNAG_04909	841	527	582	265	147	501	493	529	546	311	270	410	426.56	523	330	0.637	-0.651	0.00176365611879218	0.049632397100586	0.0201	0.0395	0.0286	0.0286	TRUE	0.5262
CNAG_06125	752451	442370	433314	268252	132405	412375	440675	444277	406599	314804	243241	337793	364564.94	430517	298613	0.694	-0.528	0.0017414405912116	0.049632397100586	0.0148	0.0282	0.0205	0.0205	TRUE	0.3223
CNAG_07797	2204	1398	1628	653	291	1329	1291	1404	1528	766	535	1089	1102	1408	797	0.568	-0.817	0.00176579416580964	0.049632397100586	0.0631	0.0326	0.0481	0.0481	TRUE	0.5591
