Id	WT30_a	WT30_b	WT30_c	Fluco_a	Fluco_b	Fluco_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.Fluco_a	norm.Fluco_b	norm.Fluco_c	baseMean	WT	Fluco	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_05293	2190	1024	1059	1502	921	1886	1283	1028	994	1763	1692	1545	1384.04	1102	1667	1.511	0.595	0.000339282667438758	0.0164115138757309	0.0113	0.0317	0.0191	0.0191	TRUE	0.2523
CNAG_00302	344	198	279	293	188	486	201	199	262	344	345	398	291.57	221	362	1.648	0.72	0.000363427264039481	0.0174472412097149	0.0122	0.0447	0.0258	0.0258	TRUE	0.2896
CNAG_00257	3965	2755	2847	3270	1886	4408	2322	2767	2671	3837	3465	3611	3112.25	2587	3638	1.407	0.493	0.000381914342648363	0.0179926475715025	0.0049	0.0298	0.0135	0.0135	TRUE	0.0984
CNAG_03412	4245	2647	2425	3613	2506	3766	2486	2658	2275	4240	4604	3085	3224.77	2473	3976	1.607	0.684	0.000386059940061996	0.0179926475715025	0.0224	0.0297	0.0264	0.0264	TRUE	0.4708
CNAG_04256	1251	683	663	1016	688	1059	733	686	622	1192	1264	867	894.07	680	1108	1.625	0.7	0.000385308058882653	0.0179926475715025	0.0221	0.0336	0.0269	0.0269	TRUE	0.4406
CNAG_00979	1545	756	829	8167	5236	1225	905	759	778	9584	9619	1003	3774.79	814	6735	8.274	3.049	0.000395641957245261	0.0182111211203965	0.533	0.0295	0.232	0.533	TRUE	6.7708
CNAG_07510	8477	6025	6187	6916	4449	9119	4965	6051	5806	8116	8173	7470	6763.38	5607	7920	1.413	0.498	0.000396451971140972	0.0182111211203965	0.0062	0.0289	0.0141	0.0141	TRUE	0.1232
CNAG_00735	3578	2536	2314	3895	2368	3422	2095	2547	2171	4571	4350	2803	3089.67	2271	3908	1.72	0.783	0.000406410582559146	0.0185352254974296	0.0355	0.0298	0.035	0.035	TRUE	0.7489
CNAG_06294	2451	1613	1601	2581	1824	2232	1435	1620	1502	3029	3351	1828	2127.63	1519	2736	1.8	0.848	0.000419053458617081	0.0188475053646257	0.0503	0.0305	0.0411	0.0411	TRUE	0.8912
CNAG_07613	43	112	154	253	152	429	25	112	145	297	279	351	201.62	94	309	3.307	1.726	0.000521591807485171	0.0224026287056406	0.3235	0.052	0.1717	0.1717	TRUE	3.9139
CNAG_07538	14572	7703	6512	10940	7027	12010	8534	7736	6111	12839	12909	9838	9661.09	7460	11862	1.59	0.669	0.000567848571266978	0.0238533758390767	0.0245	0.0287	0.027	0.027	TRUE	0.3059
CNAG_05784	1168	616	761	1013	759	1022	684	619	714	1189	1394	837	906.18	672	1140	1.692	0.759	0.000587338002050639	0.0245108048568191	0.0343	0.0335	0.0339	0.0339	TRUE	0.2561
CNAG_00594	5891	3233	3202	4102	2293	5301	3450	3247	3005	4814	4212	4342	3845.03	3234	4456	1.378	0.463	0.000602560902723277	0.0249828010642086	0.0045	0.0295	0.0128	0.0128	TRUE	0.06
