Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_04695	330	207	232	190	156	121	127	138	143	313	295	248	210.54	136	285	2.103	1.073	2.91536498738168e-08	1.44743066076818e-07	0.0029	0.0366	0.0217	0.0217	TRUE	0.1347
CNAG_04696	924	562	667	472	370	357	355	374	412	777	700	730	558.04	380	736	1.936	0.953	2.60608475896762e-11	1.85714368154822e-10	0.0029	0.0227	0.0127	0.0127	TRUE	0.0629
CNAG_04697	2609	1627	1748	369	291	266	1003	1082	1080	607	550	544	811.29	1055	567	0.538	-0.894	1.06870513385086e-11	7.92408609639743e-11	0.0014	0.0201	0.0106	0.0106	TRUE	0.0448
CNAG_04698	6155	5438	6906	873	682	652	2367	3617	4269	1437	1289	1334	2385.49	3418	1353	0.396	-1.336	3.73444643164764e-11	2.62262626603897e-10	0.0408	0.0163	0.0286	0.0286	TRUE	0.2336
CNAG_04699	1732	738	793	234	236	256	666	491	490	385	446	524	500.37	549	452	0.82	-0.286	0.142278098918935	0.202354391683866	0.0259	0.0237	0.0248	0.0248	TRUE	0.4231
CNAG_04700	2441	984	1326	224	183	202	939	654	820	369	346	413	590.14	804	376	0.467	-1.099	1.7529787814055e-09	1.02767622851082e-08	0.02	0.0223	0.0212	0.0212	TRUE	0.1572
CNAG_04701	894	236	342	164	131	147	344	157	211	270	248	301	255.09	237	273	1.145	0.196	0.490186797357659	0.573054325632715	0.0822	0.0327	0.0533	0.0533	TRUE	0.8376
CNAG_04702	2386	1529	1464	756	685	574	918	1017	905	1244	1295	1174	1092.21	947	1238	1.309	0.388	0.00180101948249722	0.00414589301388712	0.0024	0.0186	0.0101	0.0101	TRUE	0.0504
CNAG_04703	5193	2355	2338	1335	1258	1055	1997	1566	1445	2197	2378	2158	1957.14	1669	2244	1.344	0.426	0.00523351211131467	0.0108562937185122	0.0157	0.0167	0.0162	0.0162	TRUE	0.361
CNAG_04704	66	48	28	64	48	51	25	32	17	105	91	104	62.51	25	100	4.032	2.011	3.26023736540345e-09	1.84892289751792e-08	0.0173	0.0895	0.0629	0.0629	TRUE	0.499
CNAG_04705	2917	1732	1739	1119	980	964	1122	1152	1075	1842	1853	1972	1502.6	1116	1889	1.692	0.759	1.07431317566873e-11	7.95696217651037e-11	5e-04	0.0174	0.0082	0.0082	TRUE	0.0176
CNAG_04707	106	64	115	156	113	95	41	43	71	257	214	194	136.53	52	222	4.332	2.115	1.11837820441335e-13	1.00750589678651e-12	0.0492	0.0487	0.0489	0.0489	TRUE	1.0354
CNAG_04708	1434	381	393	59	47	49	552	253	243	97	89	100	222.34	349	95	0.273	-1.875	1.69570396065752e-08	8.72572949231286e-08	0.1177	0.0354	0.0691	0.0691	TRUE	3.0683
CNAG_04709	5432	2519	3440	923	846	759	2089	1675	2126	1519	1599	1553	1760.39	1963	1557	0.793	-0.335	0.0146414862375963	0.0271107519760083	0.0089	0.017	0.0128	0.0128	TRUE	0.1993
CNAG_04710	3204	2544	2707	772	666	664	1232	1692	1673	1271	1259	1359	1414.3	1532	1296	0.846	-0.241	0.126971525873968	0.183316154846161	0.0165	0.0176	0.0171	0.0171	TRUE	0.3603
CNAG_04711	118	76	111	122	96	69	45	51	69	201	181	141	114.67	55	174	3.202	1.679	1.14377527835403e-09	6.85355001008421e-09	0.0295	0.0553	0.0445	0.0445	TRUE	0.3899
CNAG_04712	1538	1290	1620	479	381	334	592	858	1001	788	720	683	773.82	817	730	0.896	-0.159	0.432611082359316	0.517164456720601	0.0376	0.0204	0.028	0.028	TRUE	0.4167
CNAG_04713	2624	2331	2971	1318	1095	1027	1009	1550	1836	2169	2070	2101	1789.44	1465	2113	1.443	0.529	0.00887628050286249	0.0173156456441851	0.0451	0.0169	0.0289	0.0289	TRUE	0.7048
CNAG_04714	1851	1008	1076	774	688	715	712	670	665	1274	1301	1463	1014.15	682	1346	1.97	0.978	7.86668410802367e-15	7.87481805023285e-14	0.0019	0.0189	0.0103	0.0103	TRUE	0.0676
CNAG_04715	8788	4568	4655	1858	1671	1460	3380	3038	2877	3058	3159	2987	3083.29	3098	3068	0.99	-0.015	0.899859823118305	0.923432771240575	0.0037	0.0158	0.0092	0.0092	TRUE	0.0776
CNAG_04716	6413	3068	3507	1049	953	885	2466	2041	2168	1727	1802	1811	2002.28	2225	1780	0.799	-0.323	0.00934058799421001	0.0181274813392787	0.0051	0.0166	0.0105	0.0105	TRUE	0.1107
CNAG_04717	74	54	78	71	57	45	28	36	48	117	108	92	71.55	37	106	2.838	1.505	3.01957817213539e-06	1.12747555220725e-05	0.0304	0.08	0.0587	0.0587	TRUE	0.5441
CNAG_04718	2003	1183	1226	436	336	311	770	787	758	718	635	636	717.35	772	663	0.86	-0.217	0.0979490861344505	0.145954475974752	0	0.0208	0.0107	0.0107	TRUE	0.0611
CNAG_04719	1114	590	687	391	349	300	428	392	425	644	660	614	527.11	415	639	1.539	0.622	6.24641914605312e-06	2.21982079458846e-05	0	0.0232	0.0115	0.0115	TRUE	0.0266
CNAG_04720	5162	3042	2886	973	823	789	1985	2023	1784	1601	1556	1614	1760.69	1931	1590	0.824	-0.28	0.015613498263002	0.0287069468405058	0.0024	0.017	0.0089	0.0089	TRUE	0.0536
CNAG_04721	3252	1872	2049	604	544	421	1251	1245	1266	994	1028	861	1107.71	1254	961	0.767	-0.383	0.00252907654989616	0.00562690472050107	0	0.0185	0.0104	0.0104	TRUE	0.0944
CNAG_04723	3462	1671	1859	447	390	415	1332	1111	1149	736	737	849	985.68	1197	774	0.646	-0.631	9.19801717916065e-06	3.15983554395446e-05	0.0068	0.0191	0.0132	0.0132	TRUE	0.1179
CNAG_04724	4147	2849	2548	1064	952	840	1595	1895	1575	1751	1800	1719	1722.41	1688	1757	1.041	0.058	0.650095743835421	0.72059189662621	0.0056	0.017	0.011	0.011	TRUE	0.1383
CNAG_04725	1986	1437	1498	529	478	430	764	956	926	871	904	880	883.28	882	885	1.004	0.006	0.96662307296891	0.974017846393261	0.0075	0.0196	0.0133	0.0133	TRUE	0.1687
CNAG_04726	88026	48943	50294	3762	3647	3908	33856	32552	31087	6192	6895	7996	19762.86	32498	7028	0.216	-2.21	6.70232661933095e-67	6.39741795763463e-65	0.0091	0.0145	0.0116	0.0116	TRUE	0.1765
CNAG_04727	1342	753	447	1037	905	751	516	501	276	1707	1711	1537	1041.26	431	1652	3.828	1.937	2.06467809251868e-18	2.61729054530723e-17	0.0567	0.0188	0.0341	0.0341	TRUE	1.1609
CNAG_04728	2697	1662	2117	528	448	434	1037	1105	1309	869	847	888	1009.2	1150	868	0.755	-0.406	0.00419821938746703	0.00892170987421262	0.0077	0.019	0.0132	0.0132	TRUE	0.1747
CNAG_04729	2368	1442	1809	660	588	510	911	959	1118	1086	1112	1043	1038.23	996	1080	1.085	0.118	0.384560940498375	0.467978002111238	0.0061	0.0188	0.0122	0.0122	TRUE	0.1387
CNAG_04730	7897	5229	3357	1891	1658	1502	3037	3478	2075	3112	3135	3073	2985.01	2863	3107	1.085	0.118	0.521028488883572	0.602458636608764	0.034	0.0159	0.0238	0.0238	TRUE	0.6403
CNAG_04731	1040	662	789	407	327	308	400	440	488	670	618	630	541.04	443	639	1.447	0.533	0.000345041809974227	0.000908096445124403	0.0051	0.023	0.0139	0.0139	TRUE	0.0942
CNAG_04732	1599	964	1253	1026	910	816	615	641	774	1689	1720	1670	1184.88	677	1693	2.503	1.324	5.62264064039652e-22	8.88219944521381e-21	0.0065	0.0183	0.0126	0.0126	TRUE	0.1901
