Id	WT30_a	WT30_b	WT30_c	SDS_a	SDS_b	SDS_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.SDS_a	norm.SDS_b	norm.SDS_c	baseMean	WT	SDS	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_05408	11574	7209	6870	5173	6857	4464	8207	8771	7773	5690	5455	5304	6866.83	8250	5483	0.665	-0.589	8.93180833460611e-10	4.34778345506362e-08	0.0022	0.0153	0.0065	0.0065	TRUE	0.0369
CNAG_00637	4342	2396	1903	1296	1704	964	3079	2915	2153	1426	1356	1145	2012.33	2716	1309	0.482	-1.053	9.48375970208011e-10	4.52949706334558e-08	0.0219	0.0172	0.0208	0.0208	TRUE	0.3975
CNAG_00697	11210	7384	7383	5236	7013	4789	7949	8984	8354	5759	5579	5690	7052.63	8429	5676	0.674	-0.57	1.04838485434594e-09	4.94781600998776e-08	0.0018	0.0153	0.0061	0.0061	TRUE	0.0404
CNAG_01604	1906	1272	1128	771	1042	669	1352	1548	1276	848	829	795	1107.91	1392	824	0.592	-0.755	1.4120039237069e-09	6.34186133151007e-08	0.0047	0.0193	0.0102	0.0102	TRUE	0.113
CNAG_07557	5808	3565	3631	2453	3741	2362	4119	4337	4108	2698	2976	2807	3507.55	4188	2827	0.675	-0.566	1.75639442636242e-09	7.73497857116232e-08	0.0013	0.0161	0.0061	0.0061	TRUE	0.0263
CNAG_05251	11300	5624	2896	1743	2604	1475	8013	6842	3277	1917	2072	1753	3978.97	6044	1914	0.317	-1.659	2.46423863965089e-09	1.06448830917913e-07	0.1038	0.0159	0.0554	0.0554	TRUE	0.4452
CNAG_05572	2387	1886	1574	986	1179	852	1693	2295	1781	1085	938	1012	1467.19	1923	1012	0.526	-0.926	2.97219092123868e-09	1.27578473593929e-07	0.0158	0.0182	0.0168	0.0168	TRUE	0.344
CNAG_06290	19359	10530	5329	3603	4525	2678	13728	12811	6030	3963	3600	3182	7219.02	10856	3582	0.33	-1.6	3.17943922042969e-09	1.35616080458831e-07	0.0807	0.0153	0.0524	0.0524	TRUE	1.8478
CNAG_00539	23263	15328	10087	5251	9751	5988	16496	18649	11413	5776	7757	7115	11201.15	15519	6883	0.444	-1.173	4.58412574513543e-09	1.90733379162629e-07	0.0393	0.015	0.0288	0.0288	TRUE	0.3484
CNAG_04017	7180	4159	5231	3213	4352	2816	5092	5060	5919	3534	3462	3346	4402.13	5357	3447	0.644	-0.636	4.78520830717272e-09	1.96686562056033e-07	0.0042	0.0158	0.0083	0.0083	TRUE	0.1024
CNAG_01307	9544	6504	6713	4611	5833	3942	6768	7913	7596	5072	4640	4684	6112.16	7426	4799	0.646	-0.63	5.19435304193927e-09	2.12217483918266e-07	0.0041	0.0154	0.0082	0.0082	TRUE	0.0737
CNAG_03902	6247	3857	3494	2451	3463	2460	4430	4693	3953	2696	2755	2923	3574.99	4359	2791	0.64	-0.643	6.07910030438254e-09	2.45407489668586e-07	0.0041	0.0161	0.0085	0.0085	TRUE	0.0801
CNAG_06374	4053	2475	1893	1214	1916	1134	2874	3011	2142	1335	1524	1347	2039.05	2676	1402	0.524	-0.932	6.81557187050722e-09	2.71901226034e-07	0.0173	0.0172	0.0181	0.0181	TRUE	0.368
CNAG_01777	10103	6749	5562	3933	5489	3673	7164	8211	6293	4326	4367	4364	5787.68	7223	4352	0.603	-0.731	7.428052799461e-09	2.9460265547336e-07	0.0086	0.0155	0.0113	0.0113	TRUE	0.1514
CNAG_00485	17788	11921	8051	5925	6303	4416	12614	14504	9110	6517	5014	5247	8834.34	12076	5593	0.463	-1.111	7.67408700758259e-09	3.02591035380379e-07	0.036	0.0152	0.0265	0.0265	TRUE	0.2423
CNAG_01047	6489	2741	2236	1525	1386	899	4602	3335	2530	1677	1103	1068	2385.77	3489	1283	0.368	-1.444	8.09213059458276e-09	3.17230229436186e-07	0.0796	0.0168	0.0447	0.0447	TRUE	0.1647
CNAG_04934	4546	2442	2590	1930	2546	1752	3224	2971	2931	2123	2025	2082	2559.24	3042	2077	0.682	-0.552	1.01221269458373e-08	3.90046959924252e-07	0.0014	0.0166	0.0063	0.0063	TRUE	0.0338
CNAG_01643	2360	1436	1556	1099	1296	910	1674	1747	1761	1209	1031	1081	1417.07	1727	1107	0.641	-0.642	1.41044218371493e-08	5.28487231489209e-07	0.0027	0.0183	0.0085	0.0085	TRUE	0.0774
CNAG_03176	6053	3718	3410	2545	3563	2351	4292	4524	3858	2799	2835	2794	3516.94	4225	2809	0.665	-0.589	1.4350651462199e-08	5.31836711566306e-07	0.0028	0.0161	0.0075	0.0075	TRUE	0.0696
CNAG_02041	6647	4197	3949	3016	4024	2686	4714	5106	4468	3317	3201	3192	3999.74	4763	3237	0.68	-0.557	1.59536585310764e-08	5.88031044335655e-07	0.0021	0.0159	0.0067	0.0067	TRUE	0.0481
CNAG_03937	5129	3636	3212	2290	2600	1654	3637	4424	3634	2519	2068	1965	3041.31	3898	2184	0.56	-0.836	1.76740973529047e-08	6.44439399179568e-07	0.0154	0.0163	0.0155	0.0155	TRUE	0.2167
