Id	WT30_a	WT30_b	WT30_c	WTST30_a	WTST30_b	WTST30_c	norm.WT30_a	norm.WT30_b	norm.WT30_c	norm.WTST30_a	norm.WTST30_b	norm.WTST30_c	baseMean	WT	WTST30	FoldChange	log2FoldChange	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
CNAG_04006	106	74	63	173	146	119	41	49	39	285	276	243	155.53	43	268	6.268	2.648	6.42318482393644e-32	1.7987571715627e-30	0	0.0445	0.0267	0.0267	TRUE	0.1323
CNAG_01883	102	56	121	316	246	200	39	37	75	520	465	409	257.61	50	465	9.269	3.212	8.60049466404983e-32	2.39858240075167e-30	0.072	0.0325	0.0465	0.0465	TRUE	0.8488
CNAG_07972	1538	779	698	1014	999	903	592	518	431	1669	1889	1848	1157.7	514	1802	3.502	1.808	9.05723398556796e-32	2.51560961968008e-30	0.0136	0.0184	0.0161	0.0161	TRUE	0.2333
CNAG_00653	413	281	209	450	390	309	159	187	129	741	737	632	430.85	158	703	4.448	2.153	1.35496587306469e-31	3.7327657405526e-30	0.0163	0.0252	0.0214	0.0214	TRUE	0.2781
CNAG_03480	1716	1086	1108	1069	914	838	660	722	685	1759	1728	1715	1211.52	689	1734	2.518	1.332	3.0867381341782e-31	8.43500981263131e-30	0	0.0182	0.0085	0.0085	TRUE	0.0212
CNAG_06085	10650	6274	5267	7027	5744	5285	4096	4173	3256	11566	10859	10813	7460.44	3842	11079	2.884	1.528	3.87811569556408e-31	1.05550160919027e-29	0.0092	0.0149	0.0123	0.0123	TRUE	0.2169
CNAG_00907	228	171	218	376	329	248	88	114	135	619	622	507	347.4	112	583	5.23	2.387	7.58777912997327e-31	2.04870036509278e-29	0.0252	0.0278	0.0267	0.0267	TRUE	0.4343
CNAG_03775	4849	3379	3276	3169	2812	2495	1865	2247	2025	5216	5316	5105	3629.02	2046	5212	2.549	1.35	7.96240013220734e-31	2.14131689269719e-29	0.0041	0.0156	0.0095	0.0095	TRUE	0.0902
CNAG_07954	67	32	49	126	108	97	26	21	30	207	204	198	114.56	26	203	7.877	2.978	8.84872409442102e-31	2.36093713338155e-29	0	0.0553	0.0329	0.0329	TRUE	0.1585
CNAG_05020	363	200	247	316	267	248	140	133	153	520	505	507	326.27	142	511	3.604	1.85	9.2595891135672e-31	2.46087197735863e-29	0	0.0287	0.0148	0.0148	TRUE	0.0477
CNAG_04614	896	417	442	595	562	582	345	277	273	979	1062	1191	687.95	298	1077	3.6	1.848	1.30009499837139e-30	3.42830498208674e-29	0.012	0.0211	0.0168	0.0168	TRUE	0.2237
CNAG_05723	1775	1015	904	1105	1041	1067	683	675	559	1819	1968	2183	1314.4	639	1990	3.112	1.638	1.37864962790514e-30	3.62135989469502e-29	0.0094	0.0179	0.0137	0.0137	TRUE	0.1428
CNAG_04944	3675	2193	2121	2181	1709	1668	1413	1459	1311	3590	3231	3413	2402.73	1394	3411	2.447	1.291	2.814916180114e-30	7.36551619792762e-29	0.0021	0.0163	0.0087	0.0087	TRUE	0.0328
CNAG_00526	453	257	279	338	317	270	174	171	172	556	599	552	370.94	172	569	3.299	1.722	3.25853819332587e-30	8.42866921227841e-29	0	0.027	0.0132	0.0132	TRUE	0.0238
CNAG_02587	1048	659	725	686	635	581	403	438	448	1129	1200	1189	801.3	430	1173	2.731	1.449	3.83525572315395e-30	9.8827102797773e-29	0	0.0202	0.0102	0.0102	TRUE	0.0369
CNAG_05472	81	48	72	151	134	115	31	32	45	249	253	235	140.79	36	246	6.893	2.785	3.91625914936065e-30	1.00532152481883e-28	0	0.0477	0.0315	0.0315	TRUE	0.3703
CNAG_03326	2903	1696	1599	1577	1486	1366	1117	1128	988	2596	2809	2795	1905.44	1078	2733	2.535	1.342	6.07254154278263e-30	1.55296656737501e-28	0.0031	0.0168	0.0094	0.0094	TRUE	0.063
